BEA_Sector_Code,BEA_Sector_Name,Spending_USD,Pct_of_Total,GHG_kg_CO2e,GHG_metric_tons_CO2e,Energy_MJ,Water_gallons,Land_m2_year,GHG_Intensity_kg_per_1000USD,Num_NAICS_Codes
712000,Museums,16186766.600000001,0.0036679047794954626,1893851.6922000002,1893.8516922000001,33992209.86,3787703.3844000003,9388.324628,117.0,2
512100,Motion Picture and Video Production,37897231.14,0.008587473870664834,1856964.3258600002,1856.9643258600001,77310351.5256,3713928.6517200004,9474.307785,49.0,4
524200,Insurance Agencies and Brokerages,59314960.760000005,0.013440709527941783,1542188.97976,1542.18897976,75923149.7728,3084377.95952,7710.9448988,26.0,4
486000,Pipeline Transportation of Crude Oil,934072.21,0.00021165980878805587,1445009.70887,1445.00970887,2989031.0719999997,7225048.544349999,28900.1941774,1547.0,2
336500,Railroad Rolling Stock Manufacturing,3576239.37,0.0008103721887138869,1419767.0298900001,1419.7670298900002,32454372.282750003,4259301.089670001,14197.670298900002,397.0,1
336214,Travel Trailer and Camper Manufacturing,9105856.35,0.0020633777488064916,1411407.73425,1411.40773425,82635646.37625,2822815.4685,7102.567953000001,155.0,1
114000,Finfish Fishing,6354863.49,0.0014400055764078425,1131165.7012200002,1131.16570122,50838907.92,2262331.4024400003,5655.828506100001,178.0,2
327100,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",2410953.35,0.0005463195667259202,988490.8735000001,988.4908735000001,41950588.29000001,2965472.6205,9884.908735,410.0,2
441000,New Car Dealers,7416127.88,0.0016804870032784403,771277.29952,771.27729952,13349030.184,1542554.59904,3856.3864976,104.0,7
541100,Offices of Lawyers,20107848.73,0.004556417985426364,723882.55428,723.88255428,32574714.9426,1447765.10856,3619.4127714,36.0,2
482000,Line-Haul Railroads,1591951.62,0.00036073461118068785,710010.42252,710.01042252,8914929.072,2130031.26756,7100.1042252,446.0,2
321100,Sawmills,1828500.65,0.0004143363797835671,559521.1989,559.5211989,21119182.5075,1678563.5966999999,5595.211989,306.0,2
327400,Lime Manufacturing,320900.84,7.271580259766695e-05,380267.4954,380.26749540000003,5583674.616,1901337.4770000002,7605.349908,1185.0,2
113000,Timber Tract Operations,1152317.86,0.000261114050176765,286927.14714,286.92714714,8296688.592000001,860781.44142,2869.2714714000003,249.0,3
452000,Department Stores,1696617.36,0.0003844517609662064,247706.13456000003,247.70613456000004,3257505.3312000004,495412.26912000007,1238.5306728,146.0,1
512200,Music Publishers,1434356.11,0.00032502362957204307,57374.24440000001,57.37424440000001,2926086.4644000004,114748.48880000002,286.87122200000005,40.0,3
425000,Business to Business Electronic Markets,250467.73,5.675573180726402e-05,20788.821590000003,20.788821590000005,563552.3925000001,41577.64318000001,105.1964466,83.0,1
336213,Motor Home Manufacturing,175322.08,3.972780426592954e-05,17707.53008,17.70753008,1591047.876,35415.06016,89.41426080000001,101.0,1
213111,Drilling Oil and Gas Wells,28000.0,6.34477140270083e-06,9996.0,9.996,274400.0,29988.0,99.96,357.0,1
533000,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),117300.0,2.658006019774312e-05,5747.7,5.7477,168912.0,11495.4,28.151999999999997,49.0,1
454000,Electronic Shopping and Mail-Order Houses,56006.78,1.2691079146477027e-05,4984.60342,4.98460342,71688.6784,9969.20684,25.203051,89.00000000000001,1
