NAICS_Code,BEA_Sector_Code,BEA_Sector_Name,Spending_USD,Pct_of_Total,GHG_kg_CO2e,Energy_MJ,Water_gallons,Land_m2_year,GHG_Intensity_kg_per_1000USD,Energy_Intensity_MJ_per_1000USD
333618,333618,Other Engine Equipment Manufacturing,504377254.05,0.11429137063104326,129624954.29085,4161112345.9125,388874862.87255,1296249.5429085,257.0,8250.0
541710,541700,Research and Development in Nanotechnology,503207729.13,0.11402635747864462,72965120.72384998,815196521.1905999,145930241.44769996,362309.5649736,145.0,1620.0
488999,488000,Support Activities for Transportation,497990309.54,0.1128440955282688,333802904.484662,3551368093.453556,1498652037.529676,5826486.621618,670.3,7131.4
423610,423000,"Merchant Wholesalers, Durable Goods",490074748.49,0.1110504374787555,44596802.11259,1102668184.1025,89193604.22518,225434.3843054,91.0,2250.0
541219,541200,Offices of Certified Public Accountants,480979210.0,0.10898939774648703,23567981.290000003,779186320.2,47135962.580000006,115435.01040000001,49.0,1620.0
561611,561000,Administrative and Support Services,469776951.16,0.10645097733456974,50078222.993656,986531597.4360001,100156445.987312,248981.78411480002,106.6,2100.0
561621,561000,Administrative and Support Services,439136160.26,0.09950780541105346,46811914.683716,922185936.5460001,93623829.367432,232742.1649378,106.6,2100.0
561612,561000,Administrative and Support Services,431523583.21,0.09778280322649284,46000413.97018599,906199524.7409999,92000827.94037198,228707.49910129997,106.6,2100.0
493110,493000,General Warehousing and Storage,415722089.34,0.09420220085412397,91874581.74414,1662888357.36,275623745.23241997,918745.8174413999,221.0,4000.0
488510,488000,Support Activities for Transportation,396622447.71,0.08987424156784332,265856026.70001298,2828473323.599094,1193595594.138474,4640482.638207,670.3,7131.4
332999,332900,Other Fabricated Metal Product Manufacturing,387614910.75,0.08783314289239408,95159460.589125,3528264725.1018753,262841670.979575,837248.2072200001,245.50000000000003,9102.5
541612,541600,Management and Technical Consulting,367755936.07,0.08333311951251465,35231018.675505996,595764616.4333999,78258463.195696,213298.44292059998,95.8,1620.0
541310,541300,Architectural Services,348879101.28,0.07905564802861823,32794635.520319995,565184144.0735999,65589271.04063999,163973.17760159995,94.0,1620.0
488310,488000,Support Activities for Transportation,341341316.27,0.07734759364393412,228801084.29578096,2434241462.8478775,1027232557.1829379,3993693.400358999,670.3,7131.4
332510,332500,Hardware Manufacturing,340237968.38,0.07709757613894475,61242834.3084,3087659563.0484996,122485668.6168,306214.17154199997,180.0,9075.0
561730,561000,Administrative and Support Services,335588917.25,0.07604410590111198,35773778.57885,704736726.225,71547557.1577,177862.1261425,106.6,2100.0
336612,336612,Boat Building,321019642.65,0.07274272315681998,51363142.824,2913253257.04875,102726285.648,256815.71412000002,160.0,9075.0
541620,541600,Management and Technical Consulting,307391319.0,0.06965455893677458,29448088.360199995,497973936.78,65412872.683199994,178286.96501999997,95.8,1620.0
541720,541700,Research and Development in Nanotechnology,295289547.09,0.06691230978189686,42816984.32804999,478369066.2857999,85633968.65609998,212608.47390479996,145.0,1620.0
561110,561000,Administrative and Support Services,266434891.46,0.06037387428632527,28401959.429635998,559513272.066,56803918.859271996,141210.4924738,106.6,2100.0
561422,561000,Administrative and Support Services,266258890.69,0.06033399269159851,28383197.747553997,559143670.449,56766395.49510799,141117.2120657,106.6,2100.0
332911,332900,Other Fabricated Metal Product Manufacturing,260176138.28,0.05895564720800288,63873241.94774001,2368253298.6937003,176425439.367668,561980.4586848001,245.50000000000003,9102.5
332919,332900,Other Fabricated Metal Product Manufacturing,249908412.81,0.05662899110325864,61352515.34485501,2274791327.603025,169462894.72646102,539802.1716696001,245.50000000000003,9102.5
488320,488000,Support Activities for Transportation,245822766.99,0.05570318793324792,164775000.713397,1753060480.512486,739779034.979706,2876126.373783,670.3,7131.4
541380,541300,Architectural Services,234067883.55,0.053039543351383854,22002381.0537,379189971.35099995,44004762.1074,110011.90526849998,94.0,1620.0
324191,324190,Petroleum Lubricating Oil and Grease Manufacturing,229697247.92,0.05204916178149638,124955302.86848,5581643124.455999,624776514.3424,2499106.0573696,544.0,24299.999999999996
332991,332900,Other Fabricated Metal Product Manufacturing,192232878.22,0.04355977387104026,47193171.603010006,1749799773.99755,130353114.72098202,415223.01695520006,245.50000000000003,9102.5
221320,221300,Water Supply and Irrigation Systems,174443737.87,0.03952877283635057,83558550.43972999,566942148.0774999,250675651.31919,835585.5043973,478.99999999999994,3250.0
721110,721000,Hotels (except Casino Hotels) and Motels,171691784.08,0.03890518291819535,22319931.930400003,661013368.7080001,44639863.860800005,111599.65965200002,130.0,3850.0
315220,315000,Hosiery and Sock Mills,170860586.39,0.03871683437057023,17769500.984559998,662084772.2612499,35539001.969119996,88847.50492279998,104.0,3875.0
